TaxonId	matchedType	inputName	matchedName	matchedCanonicalForm	inputRank	matchedRank	synonymStatus	acceptedName	matchedEditDistance	matchedScore	matchTaxonID
142708	Exact string match	Hypechiniscus gladiator (Murray, 1905)	Hypechiniscus gladiator (Murray, 1905)	Hypechiniscus gladiator	species	species		Hypechiniscus gladiator (Murray, 1905)	0	0.999	8a06a0288bdbc57ab3a4b9cf8850eb72
142888	Canonical form exact match	Hypechiniscus gladiator subsp. gladiator (Murray, 1905)	Hypechiniscus gladiator gladiator (Murray, 1905)	Hypechiniscus gladiator gladiator	subspecies	infraspecies		Hypechiniscus gladiator gladiator (Murray, 1905)	0	1.0	8498130f8f48d1697088a1afbd9a6352
142710	Exact string match	Emydium granulatum Doyère, 1840	Emydium granulatum Doyère, 1840	Emydium granulatum	species	species	synonym	Echiniscus granulatus (Doyère, 1840)	0	0.999	927fde296e566b8b6e2e387a7f108ab2
142785	Canonical form fuzzy match	Emydium spinulosus Doyère, 1840	Emydium spinulosum Doyère, 1840	Emydium spinulosum	species	species	synonym	Echiniscus spinulosus (Doyère, 1840)	1	0.96	e832909d23ee2a1bb8c88f549516a474
142795	Exact string match	Emydium testudo Doyère, 1840	Emydium testudo Doyère, 1840	Emydium testudo	species	species	synonym	Echiniscus testudo (Doyère, 1840)	0	0.999	809d2997bd50ad335ee7c3bde5d3c047
142669	Exact string match	Echiniscus arctomys Ehrenberg, 1853	Echiniscus arctomys Ehrenberg, 1853	Echiniscus arctomys	species	species		Echiniscus arctomys Ehrenberg, 1853	0	0.999	3daaa04adaae1eef8b4c6d5c500a7da4
142682	Exact string match	Echiniscus blumi Richters, 1903	Echiniscus blumi Richters, 1903	Echiniscus blumi	species	species		Echiniscus blumi Richters, 1903	0	0.999	46b47042c539bd21f0141f018ddf82cd
142683	Exact string match	Echiniscus capillatus Ramazzotti, 1956	Echiniscus capillatus Ramazzotti, 1956	Echiniscus capillatus	species	species		Echiniscus capillatus Ramazzotti, 1956	0	0.999	b8c8d74cf253e96c795d5631dcd1ec18
142686	Exact string match	Echiniscus columinis Murray, 1911	Echiniscus columinis Murray, 1911	Echiniscus columinis	species	species		Echiniscus columinis Murray, 1911	0	0.999	cfb8dc97095eb003058383bfa9f186a1
142707	Exact string match	Echiniscus gladiator Murray, 1905	Echiniscus gladiator Murray, 1905	Echiniscus gladiator	species	species	synonym	Hypechiniscus gladiator (Murray, 1905)	0	0.999	fcf37f6e08153bbc1317f4fad3acfb89
142724	Exact string match	Echiniscus islandicus Richters, 1904	Echiniscus islandicus Richters, 1904	Echiniscus islandicus	species	species	synonym	Pseudechiniscus islandicus (Richters, 1904)	0	0.999	9ed1ea1771655f5bbc5986e4ac7751ce
142733	Canonical form exact match	Echiniscus merokensis Richters, 1903	Echiniscus merokensis Richters, 1904	Echiniscus merokensis	species	species		Echiniscus merokensis Richters, 1904	0	0.997	6e35ed8b9cbd8771461e8a534a46f472
142735	Exact string match	Echiniscus militaris Murray, 1911	Echiniscus militaris Murray, 1911	Echiniscus militaris	species	species		Echiniscus militaris Murray, 1911	0	0.999	2bbb035bb75689a2b94b1188e59cec3f
142746	Exact string match	Echiniscus oihonnae Richters, 1903	Echiniscus oihonnae Richters, 1903	Echiniscus oihonnae	species	species		Echiniscus oihonnae Richters, 1903	0	0.999	6917bf673163c5a0b15faa993cc9c6fb
142757	Partial canonical form match	Echiniscus phocae Bois-Reymond Marcus, E. du, 1944.	Echiniscus phocae Du Bois-Reymond Marcus, 1944	Echiniscus phocae	species	species		Echiniscus phocae Du Bois-Reymond Marcus, 1944	0	0.988	fdae9568fbc06819d6f8de954bf0a3d5
142765	Exact string match	Echiniscus quadrispinosus Richters, 1902	Echiniscus quadrispinosus Richters, 1902	Echiniscus quadrispinosus	species	species		Echiniscus quadrispinosus Richters, 1902	0	0.999	cfc1dcd0f0ab07dc7fdaeb1e5c1253af
142767	Exact string match	Echiniscus reticulatus Murray, 1905	Echiniscus reticulatus Murray, 1905	Echiniscus reticulatus	species	species		Echiniscus reticulatus Murray, 1905	0	0.999	5ce7da9af1366c3080a222efcfdf62ed
142779	Genus part match	Echiniscus sigismundi Schultze, 1865	Echiniscus	Echiniscus	species	genus		Echiniscus	0	0.75	33548677
142780	Genus part match	Echiniscus sinensis Pilato, 1974	Echiniscus	Echiniscus	species	genus		Echiniscus	0	0.75	33548677
142784	Exact string match	Echiniscus spiculifer Schaudinn, 1901	Echiniscus spiculifer Schaudinn, 1901	Echiniscus spiculifer	species	species		Echiniscus spiculifer Schaudinn, 1901	0	0.999	a88e15ee0e02ace86c82570aac0e2914
142786	Exact string match	Echiniscus spitsbergensis Scourfield, 1897	Echiniscus spitsbergensis Scourfield, 1897	Echiniscus spitsbergensis	species	species	synonym	Testechiniscus spitzbergensis (Scourfield, 1897)	0	0.999	6357b5dd8e62fd19b3877724d4e65122
142792	Exact string match	Echiniscus suillus Ehrenberg, 1853	Echiniscus suillus Ehrenberg, 1853	Echiniscus suillus	species	species	synonym	Pseudechiniscus suillus (Ehrenberg, 1853)	0	0.999	ee315b4ca5704159d6f073d010bcb7a8
142797	Exact string match	Echiniscus trisetosus Cuénot, 1932	Echiniscus trisetosus Cuénot, 1932	Echiniscus trisetosus	species	species		Echiniscus trisetosus Cuénot, 1932	0	0.999	9e6a9e512992c4fddeab02c9d91a32de
142800	Genus part match	Echiniscus victor Ehrenberg, 1853	Echiniscus	Echiniscus	species	genus		Echiniscus	0	0.75	33548677
142806	Exact string match	Echiniscus wendti Richters, 1903	Echiniscus wendti Richters, 1903	Echiniscus wendti	species	species		Echiniscus wendti Richters, 1903	0	0.999	0e330bc2c6db48f42a56125f1e6ecb4f
142811	Exact string match	Echiniscus granulatus (Doyère, 1840)	Echiniscus granulatus (Doyère, 1840)	Echiniscus granulatus	species	species		Echiniscus granulatus (Doyère, 1840)	0	0.999	a0a0e0add09a122d89c2f5ffc6df8685
142869	Exact string match	Echiniscus spinulosus (Doyère, 1840)	Echiniscus spinulosus (Doyère, 1840)	Echiniscus spinulosus	species	species		Echiniscus spinulosus (Doyère, 1840)	0	0.999	73cfafc2ba1db2fbdbb202e82c986320
142870	Exact string match	Echiniscus testudo (Doyère, 1840)	Echiniscus testudo (Doyère, 1840)	Echiniscus testudo	species	species		Echiniscus testudo (Doyère, 1840)	0	0.999	040b74afa3222e50eda9132dbb1cf3a4
142883	Canonical form exact match	Echiniscus quadrispinosus subsp. quadrispinosus Richters, 1902	Echiniscus quadrispinosus quadrispinosus Richters, 1902	Echiniscus quadrispinosus quadrispinosus	subspecies	infraspecies		Echiniscus quadrispinosus quadrispinosus Richters, 1902	0	1.0	0e5b15f015fe6f61d0bc5412e32b1811
142879	Canonical form exact match	Echiniscus merokensis subsp. merokensis Richters, 1903	Echiniscus merokensis merokensis Richters, 1904	Echiniscus merokensis merokensis	subspecies	infraspecies		Echiniscus merokensis merokensis Richters, 1904	0	1.0	cdfa12816b6734ca50ca2cfa84c56be7
142884	Canonical form exact match	Echiniscus merokensis subsp. suecicus Thulin, 1911	Echiniscus merokensis suecicus Thulin, 1911	Echiniscus merokensis suecicus	subspecies	infraspecies		Echiniscus merokensis suecicus Thulin, 1911	0	1.0	d766951c6c6da0079ad5f2888a99ead8
142872	Canonical form exact match	Echiniscus blumi subsp. blumi Richters, 1903	Echiniscus blumi blumi Richters, 1903	Echiniscus blumi blumi	subspecies	infraspecies		Echiniscus blumi blumi Richters, 1903	0	1.0	dae96e625750f7cb739da92f050fd14e
142810	No match	Diploechiniscus oihonnae (Richters, 1903)			species				
142754	Exact string match	Bryodelphax parvulus Thulin, 1928	Bryodelphax parvulus Thulin, 1928	Bryodelphax parvulus	species	species		Bryodelphax parvulus Thulin, 1928	0	0.999	e048ce1b39141ec381a77ce2b161aa8d
142755	Genus part match	Bryodelphax parvuspolaris 'Kaczmarek, Zawierucha, Smykla, & Michalczyk, 2012	Bryodelphax	Bryodelphax	species	genus		Bryodelphax	0	0.75	33592750
142852	Exact string match	Bryodelphax sinensis (Pilato, 1974)	Bryodelphax sinensis (Pilato, 1974)	Bryodelphax sinensis	species	species		Bryodelphax sinensis (Pilato, 1974)	0	0.999	6427c8296dd6cce731530538218af0cd
51910	Exact string match	Echiniscoides	Echiniscoides	Echiniscoides	genus	genus		Echiniscoides	0	0.75	33638009
51911	Canonical form exact match	Echiniscoides sigismundi (Schultze, 1865)	Echiniscoides sigismundi (M. Schultze, 1865)	Echiniscoides sigismundi	species	species		Echiniscoides sigismundi (M. Schultze, 1865)	0	0.75	1a04f9996ee5ebfa6c6425ae06ee5fe8
142875	Canonical form exact match	Echiniscoides sigismundi subsp. groenlandicus Kristensen & Hallas, 1980	Echiniscoides sigismundi groenlandicus Kristensen and Hallas, 1980	Echiniscoides sigismundi groenlandicus	subspecies	infraspecies		Echiniscoides sigismundi groenlandicus Kristensen and Hallas, 1980	0	1.0	8af999a6afad4b050e22daadcf3d3e8c
142887	Canonical form exact match	Echiniscoides sigismundi subsp. sigismundi (Schultze, 1865)	Echiniscoides sigismundi sigismundi (M. Schultze, 1865)	Echiniscoides sigismundi sigismundi	variety	infraspecies		Echiniscoides sigismundi sigismundi (M. Schultze, 1865)	0	0.997	84463c442f19128440d9f2ee94ac86b2
51906	Exact string match	Batillipedidae	Batillipedidae	Batillipedidae	family	family		Batillipedidae	0	0.75	33526873
51907	Exact string match	Batillipes	Batillipes	Batillipes	genus	genus		Batillipes	0	0.75	33592645
51908	Exact string match	Batillipes mirus Richters, 1909	Batillipes mirus Richters, 1909	Batillipes mirus	species	species		Batillipes mirus Richters, 1909	0	0.999	b508c8eb8bf0ac38582506696e693d00
633	Exact string match	Apochela	Apochela	Apochela	order	order		Apochela	0	0.75	33526861
634	Exact string match	Parachela	Parachela	Parachela	order	genus		Parachela	0	0.75	33651660
137922	No match	Eohypsibioidea			superfamily				
137923	No match	Hypsibioidea			superfamily				
137924	No match	Isohypsibioidea			superfamily				
137925	No match	Macrobiotoidea			superfamily				
142613	Exact string match	Macrobiotidae	Macrobiotidae	Macrobiotidae	family	family		Macrobiotidae	0	0.75	33526868
142614	No match	Murrayidae			family				
142630	Exact string match	Dactylobiotus	Dactylobiotus	Dactylobiotus	genus	genus		Dactylobiotus	0	0.75	33571363
142646	Exact string match	Murrayon	Murrayon	Murrayon	genus	genus		Murrayon	0	0.75	33647024
142848	Exact string match	Murrayon dianeae (Kristensen, 1982)	Murrayon dianeae (Kristensen, 1982)	Murrayon dianeae	species	species		Murrayon dianeae (Kristensen, 1982)	0	0.999	5ded3768547e26075e4cd2e3e2c9d7ba
142849	Exact string match	Murrayon hastatus (Murray, 1907)	Murrayon hastatus (Murray, 1907)	Murrayon hastatus	species	species		Murrayon hastatus (Murray, 1907)	0	0.999	9d14dfc3b5b35be6edaa2ce539672e5d
142850	Exact string match	Murrayon hibernicus (Murray, 1911)	Murrayon hibernicus (Murray, 1911)	Murrayon hibernicus	species	species		Murrayon hibernicus (Murray, 1911)	0	0.999	c272571416d683326d1c3119c392a416
142851	Exact string match	Murrayon pullari (Murray, 1907)	Murrayon pullari (Murray, 1907)	Murrayon pullari	species	species		Murrayon pullari (Murray, 1907)	0	0.999	5dbea2a025619a16af5827851f3e34eb
142743	Canonical form exact match	Dactylobiotus octavi Guidetti, Altiero & Hansen, 2006	Dactylobiotus octavi Guidetti, Altiero and Hansen, 2006	Dactylobiotus octavi	species	species		Dactylobiotus octavi Guidetti, Altiero and Hansen, 2006	0	0.997	262f5cf1ea8db53e8abf4d0a734a8863
142845	Exact string match	Dactylobiotus ambiguus (Murray, 1907)	Dactylobiotus ambiguus (Murray, 1907)	Dactylobiotus ambiguus	species	species		Dactylobiotus ambiguus (Murray, 1907)	0	0.999	91ef291a4c7a995c48b977306c0b6283
142846	Exact string match	Dactylobiotus ampullaceus (Thulin, 1911)	Dactylobiotus ampullaceus (Thulin, 1911)	Dactylobiotus ampullaceus	species	species		Dactylobiotus ampullaceus (Thulin, 1911)	0	0.999	55900500527e655cdc124467b078e2de
142847	Exact string match	Dactylobiotus dispar (Murray, 1907)	Dactylobiotus dispar (Murray, 1907)	Dactylobiotus dispar	species	species		Dactylobiotus dispar (Murray, 1907)	0	0.999	e26bdc0ebc4d40e21551c005b7c6fc68
142855	Exact string match	Dactylobiotus macronyx (Dujardin, 1851)	Dactylobiotus macronyx (Dujardin, 1851)	Dactylobiotus macronyx	species	species		Dactylobiotus macronyx (Dujardin, 1851)	0	0.999	ae91b26cbc0a0dffdd766783bb2457d3
142622	Exact string match	Adorybiotus	Adorybiotus	Adorybiotus	genus	genus		Adorybiotus	0	0.75	33591347
142640	Exact string match	Macrobiotus	Macrobiotus	Macrobiotus	genus	genus		Macrobiotus	0	0.75	33547246
142644	Exact string match	Minibiotus	Minibiotus	Minibiotus	genus	genus		Minibiotus	0	0.75	33612207
142647	No match	Paramacrobiotus			genus				
142653	Exact string match	Richtersius	Richtersius	Richtersius	genus	genus		Richtersius	0	0.75	33640446
142654	No match	Tenuibiotus			genus				
142854	No match	Tenuibiotus willardi (Pilato, 1977)			species				
142868	No match	Tenuibiotus voronkovi (Tumanov, 2007)			species				
