TaxonId,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,cohort,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,species,subspecies,variety,form,ScientificNameAuthorship
150382,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,CALLIACANTHA,,,LONGICAUDATA,,,,"(Leadbeater) Leadbeater, 1978"
150383,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,CALLIACANTHA,,,MULTISPINA,,,,Manton & Oates
150384,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,CALLIACANTHA,,,SIMPLEX,,,,"Manton & Oates, 1979"
147946,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,BICOSTA,,,MINOR,,,,"(Reynolds) Leadbeater, 1978"
147947,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,BICOSTA,,,SPINIFERA,,,,"(Throndsen) Leadbeater, 1978"
150381,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,BICOSTA,,,ANTENNIGERA,,,,"Moestrup, 1979"
118274,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,AULOMONAS,,,PURDYI,,,,Lackey
118271,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,FREQUENTISSIMA,,,,(Zacharias) Lemmermann
149806,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,AGGREGATA,,,,Valkanov
149807,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,AMPHORIDIUM,,,,James-Clark
149808,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,COLLARIS,,,,Stokes
149809,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,GRACILIS,,,,Clark
149810,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,INQUILLATA,,,,Kent
149811,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,MARINA,,,,James-Clark
149812,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,MINUTA,,,,Kent
118269,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,STELEXOMONAS,,,DICHOTOMA,,,,Lackey
118263,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,CODOSIGA,,,,,,,H.J.Clark
